,Player,From,To,Position,Height,Weight,Birth Date,College,bball_id
2,Tacko Fall,2020,2022,C,7-6,311,"December 10, 1995",Central Florida,fallta01
3,Phil Farbman,1949,1949,F,6-1,185,"April 3, 1924",City College of New York,farbmph01
4,Kenneth Faried,2012,2019,F-C,6-8,220,"November 19, 1989",Morehead State University,farieke01
5,Dick Farley,1955,1959,G-F,6-4,190,"April 13, 1932",Indiana,farledi01
6,Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986",UCLA,farmajo01
7,Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",USC,farmede01
8,Jim Farmer,1988,1994,G,6-4,190,"September 23, 1964",Alabama,farmeji01
9,Mike Farmer,1959,1966,F,6-7,210,"September 26, 1936",San Francisco,farmemi01
10,Tony Farmer,1998,2000,F,6-9,244,"January 3, 1970","San Jose State, Nebraska",farmeto01
11,Bob Faught,1947,1947,F,6-5,185,"September 2, 1921",Notre Dame,faughbo01
12,Vítor Luiz Faverani,2014,2014,C,6-11,260,"May 5, 1988",,favervi01
13,Derrick Favors,2011,2022,F-C,6-9,265,"July 15, 1991",Georgia Tech,favorde01
14,Nick Fazekas,2008,2008,F,6-11,235,"June 17, 1985",Nevada,fazekni01
15,Dave Fedor,1963,1963,F,6-6,190,"December 10, 1940",Florida State,fedorda01
16,Bob Feerick,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara,feeribo01
17,Butch Feher,1977,1977,G,6-4,185,"May 19, 1954",Vanderbilt,feherbu01
18,Jamie Feick,1997,2001,C,6-9,255,"July 3, 1974",Michigan State,feickja01
19,Ron Feiereisel,1956,1956,G,6-3,185,"August 6, 1931",DePaul,feierro01
20,George Feigenbaum,1950,1953,G,6-1,185,"July 2, 1928",Kentucky,feigege01
21,Dave Feitl,1987,1992,C,6-11,235,"June 8, 1962",Texas-El Paso,feitlda01
22,Kay Felder,2017,2018,G,5-9,176,"March 29, 1995",Oakland,feldeka01
23,Cristiano Felício,2016,2021,F-C,6-11,270,"July 7, 1992",,feliccr01
24,Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State,felixca01
25,Noel Felix,2006,2006,F,6-9,225,"October 4, 1981",Fresno State,felixno01
26,Ray Felix,1954,1962,C,6-11,220,"December 10, 1930",Long Island University,felixra01
27,Raymond Felton,2006,2019,G,6-1,205,"June 26, 1984",UNC,feltora01
28,Jake Fendley,1952,1953,G,6-0,180,"June 12, 1929",Northwestern,fendlja01
29,Warren Fenley,1947,1947,F,6-3,190,"February 8, 1922",Manhattan University,fenlewa01
30,Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977","Missouri, Detroit Mercy",fergude01
31,Terrance Ferguson,2018,2021,G-F,6-6,190,"May 17, 1998",,fergute01
32,Rudy Fernández,2009,2012,G,6-6,185,"April 4, 1985",,fernaru01
33,Bruno Fernando,2020,2025,F,6-9,240,"August 15, 1998",Maryland,fernabr01
34,Eric Fernsten,1976,1984,C-F,6-10,205,"November 1, 1953",San Francisco,fernser01
35,Al Ferrari,1956,1963,G-F,6-4,190,"July 6, 1933",Michigan State,ferraal01
36,Rolando Ferreira,1989,1989,C,7-1,240,"May 24, 1964",Houston,ferrero01
37,Duane Ferrell,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Tech,ferredu01
38,Yogi Ferrell,2017,2021,G,6-0,178,"May 9, 1993",Indiana,ferreyo01
39,Arnie Ferrin,1949,1951,F-G,6-2,180,"July 29, 1925",Utah,ferriar01
40,Bob Ferry,1960,1969,C-F,6-8,230,"May 31, 1937",Saint Louis,ferrybo01
41,Danny Ferry,1991,2003,F,6-10,230,"October 17, 1966",Duke,ferryda01
42,Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",,fesenky01
43,Bobby Fields,1972,1972,G,6-3,175,"October 20, 1949","Brandywine Junior College, La Salle",fieldbo01
44,Kenny Fields,1985,1988,F-G,6-5,220,"February 9, 1962",UCLA,fieldke01
45,Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford,fieldla01
46,Ron Filipek,1968,1968,F,6-5,205,"February 5, 1944",Tennessee Technological University,filipro01
47,Kyle Filipowski,2025,2025,F-C,6-11,250,"November 7, 2003",Duke,filipky01
48,Greg Fillmore,1971,1972,C,7-1,240,"March 7, 1947",Cheyney (PA),fillmgr01
49,Larry Finch,1974,1975,G,6-2,185,"February 16, 1951",Memphis,finchla01
50,Hank Finkel,1967,1975,C,7-0,240,"April 20, 1942",Dayton,finkeha01
51,Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",Wisconsin,finlemi01
52,Danny Finn,1953,1955,G,6-1,185,"May 29, 1928",St. John's,finnda01
53,Dorian Finney-Smith,2017,2025,F,6-7,220,"May 4, 1993",Florida,finnedo01
54,Matt Fish,1995,1997,C,6-11,235,"November 18, 1969",UNC Wilmington,fishma01
55,Derek Fisher,1997,2014,G,6-1,200,"August 9, 1974",Little Rock,fishede01
56,Rick Fisher,1972,1972,F,6-5,215,"October 27, 1948","Trinidad State Junior College, Colorado State",fisheri01
57,Gerald Fitch,2006,2006,G,6-3,188,"August 12, 1982",Kentucky,fitchge01
58,Malik Fitts,2021,2022,F,6-8,230,"July 4, 1997","South Florida, Saint Mary's",fittsma01
59,Bob Fitzgerald,1947,1949,F-C,6-5,190,"March 14, 1923",Seton Hall,fitzgbo01
60,Dick Fitzgerald,1947,1948,F,6-2,175,"November 18, 1920",Fordham,fitzgdi01
61,Marcus Fizer,2001,2006,F,6-9,262,"August 10, 1978",Iowa State,fizerma01
62,Adam Flagler,2024,2025,G,6-3,195,"December 1, 1999","Presbyterian College, Baylor",flaglad01
63,Jerry Fleishman,1947,1953,G-F,6-2,190,"February 14, 1922",NYU,fleisje01
64,Al Fleming,1978,1978,F,6-7,215,"April 5, 1954",Arizona,flemial01
65,Ed Fleming,1956,1960,G-F,6-3,189,"July 25, 1933",Niagara University,flemied01
66,Vern Fleming,1985,1996,G,6-5,185,"February 4, 1962",Georgia,flemive01
67,Luis Flores,2005,2005,G,6-2,200,"April 11, 1981","Rutgers University, Manhattan University",florelu01
68,Bruce Flowers,1983,1983,F,6-8,225,"June 13, 1957",Notre Dame,flowebr01
69,Trentyn Flowers,2025,2025,G-F,6-7,185,"March 8, 2005",,flowetr01
70,Sleepy Floyd,1983,1995,G,6-3,170,"March 6, 1960",Georgetown,floydsl01
71,Jonny Flynn,2010,2012,G,6-0,185,"February 6, 1989",Syracuse,flynnjo01
72,Malachi Flynn,2021,2024,G,6-1,175,"May 10, 1998","Washington State, San Diego State",flynnma01
73,Mike Flynn,1976,1978,G,6-2,180,"July 31, 1953",Kentucky,flynnmi01
74,Larry Fogle,1976,1976,G,6-5,205,"March 19, 1953",Canisius,foglela01
75,Jack Foley,1963,1963,F,6-3,170,"April 19, 1939",Holy Cross,foleyja01
76,Isaac Fontaine,2002,2002,G,6-4,210,"April 16, 1975",Washington State,fontais01
77,Levi Fontaine,1971,1971,G,6-4,190,"November 1, 1948",University of Maryland Eastern Shore,fontale01
78,Simone Fontecchio,2023,2025,F,6-8,209,"December 9, 1995",,fontesi01
79,Jeff Foote,2012,2012,C,7-0,265,"July 14, 1987",Cornell,footeje01
80,Bryn Forbes,2017,2023,G,6-2,205,"July 23, 1993",Michigan State,forbebr01
81,Gary Forbes,2011,2012,F,6-7,220,"February 25, 1985","Virginia, UMass",forbega01
82,Aleem Ford,2022,2022,F,6-8,220,"December 22, 1997",Wisconsin,fordal03
83,Alphonso Ford,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University,fordal01
84,Alton Ford,2002,2004,F,6-9,275,"May 29, 1981",Houston,fordal02
85,Bob Ford,1973,1973,F,6-7,228,"January 26, 1950",Purdue,fordbo01
86,Chris Ford,1973,1982,G-F,6-5,190,"January 11, 1949",Villanova,fordch01
87,Don Ford,1976,1982,F,6-9,215,"December 31, 1952","New Mexico, UC Santa Barbara",forddo01
88,Jake Ford,1971,1972,G,6-3,180,"April 29, 1945",University of Maryland Eastern Shore,fordja01
89,Jordan Ford,2024,2024,G,6-1,175,"May 26, 1998",Saint Mary's,fordjo01
90,Phil Ford,1979,1985,G,6-2,175,"February 9, 1956",UNC,fordph01
91,Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson,fordsh02
92,Sherell Ford,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago,fordsh01
93,T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",Texas,fordtj01
94,Donnie Forman,1949,1949,G,5-10,175,"January 17, 1926",NYU,formado01
95,Bayard Forrest,1978,1979,C,6-10,235,"July 8, 1954",Grand Canyon University,forreba01
96,Trent Forrest,2021,2024,G,6-4,210,"June 12, 1998",Florida State,forretr01
97,Joseph Forte,2002,2003,G,6-4,194,"March 23, 1981",UNC,fortejo01
98,Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",Arkansas,fortsco01
99,Danny Fortson,1998,2007,F,6-7,260,"March 27, 1976",Cincinnati,fortsda01
100,Fred Foster,1969,1977,F,6-5,210,"March 18, 1946",Miami University,fostefr01
101,Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968","UCLA, Texas-El Paso",fostegr01
102,Jeff Foster,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University,fosteje01
103,Jimmy Foster,1975,1976,G,6-1,175,"December 16, 1951",UConn,fosteja01
104,Michael Foster Jr.,2023,2023,F,6-8,250,"January 16, 2003",,fostemi02
105,Rod Foster,1984,1986,G,6-1,160,"October 10, 1960",UCLA,fostero01
106,Antonis Fotsis,2002,2002,F,6-10,219,"April 1, 1981",,fotsian01
107,Evan Fournier,2013,2024,G-F,6-6,205,"October 29, 1992",,fournev01
108,Larry Foust,1951,1962,C-F,6-9,215,"June 24, 1928",La Salle,foustla01
109,Calvin Fowler,1970,1970,G,6-0,175,"February 11, 1940",Saint Francis University,fowleca01
110,Jerry Fowler,1952,1952,C,6-8,230,"June 20, 1927",Missouri,fowleje01
111,Tremaine Fowlkes,2002,2005,F,6-8,220,"April 11, 1976","California, Fresno State",fowlktr01
112,De'Aaron Fox,2018,2025,G,6-3,185,"December 20, 1997",Kentucky,foxde01
113,Harold Fox,1973,1973,G,6-2,175,"August 29, 1949",Jacksonville University,foxha01
114,Jim Fox,1968,1977,C-F,6-10,230,"April 7, 1943",South Carolina,foxji01
115,Rick Fox,1992,2004,F-G,6-7,230,"July 24, 1969",UNC,foxri01
116,Randy Foye,2007,2017,G,6-4,213,"September 24, 1983",Villanova,foyera01
117,Adonal Foyle,1998,2009,C,6-10,250,"March 9, 1975",Colgate,foylead01
118,Richie Frahm,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga,frahmri01
119,Steve Francis,2000,2008,G,6-3,195,"February 21, 1977","San Jacinto College, Allegany College of Maryland, Maryland",francst01
120,Tellis Frank,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky,frankte01
121,Nat Frankel,1947,1947,F-G,6-0,195,"November 3, 1913",Brooklyn College,frankna01
122,Bill Franklin,1973,1976,F,6-7,220,"October 19, 1949",Purdue,frankwi01
123,Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State,frankja01
124,Robert Franks,2021,2021,F,6-7,225,"December 18, 1996",Washington State,frankro01
125,Ron Franz,1968,1973,F,6-7,205,"October 20, 1945",Kansas,franzro01
126,Melvin Frazier,2019,2022,G,6-5,215,"August 30, 1996",Tulane,frazime01
127,Michael Frazier,2020,2020,G,6-3,200,"March 8, 1994",Florida,frazimi01
128,Tim Frazier,2015,2022,G,6-0,170,"November 1, 1990",Penn State,fraziti01
129,Walt Frazier,1968,1980,G,6-4,200,"March 29, 1945",Southern Illinois,fraziwa01
130,Will Frazier,1966,1969,C-F,6-7,210,"August 25, 1942",Grambling State University,fraziwi01
131,Anthony Frederick,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine,fredean01
132,Jimmer Fredette,2012,2019,G,6-2,195,"February 25, 1989",BYU,fredeji01
133,World B. Free,1976,1988,G,6-2,185,"December 9, 1953",Guilford College,freewo01
134,Enes Freedom,2012,2022,C,6-10,250,"May 20, 1992",Kentucky,kanteen01
135,Joel Freeland,2013,2015,F-C,6-10,250,"February 7, 1987",,freeljo01
136,Donnie Freeman,1968,1976,G,6-3,185,"July 18, 1944",Illinois,freemdo01
137,Enrique Freeman,2025,2025,F,6-7,206,"July 29, 2000",University of Akron,freemen01
138,Gary Freeman,1971,1971,F,6-9,210,"July 25, 1948",Oregon State,freemga01
139,Rod Freeman,1974,1974,F,6-7,225,"November 5, 1950",Vanderbilt,freemro01
140,Javon Freeman-Liberty,2024,2024,G,6-4,180,"October 20, 1999","Valparaiso, DePaul",freemja01
141,Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt,freijma01
142,Frido Frey,1947,1947,F,6-2,195,"October 26, 1921",Long Island University,freyfr01
143,Larry Friend,1958,1958,G-F,6-4,185,"April 14, 1935",California,frienla01
144,Pat Frink,1969,1969,G,6-4,195,"February 18, 1945",Colorado,frinkpa01
145,Jim Fritsche,1954,1955,F-C,6-8,210,"December 10, 1931",Hamline University,fritsji01
146,Channing Frye,2006,2019,C-F,7-0,255,"May 17, 1983",Arizona,fryech01
147,Bernie Fryer,1974,1975,G,6-3,185,"December 25, 1949",BYU,fryerbe01
148,Frank Fucarino,1947,1947,F,6-2,175,"July 24, 1920",Long Island University,fucarfr01
149,Alex Fudge,2024,2024,F,6-8,200,"May 6, 2003","LSU, Florida",fudgeal01
150,Herm Fuetsch,1948,1948,G,6-0,170,"July 6, 1918",,fuetshe01
151,Joe Fulks,1947,1954,F-C,6-5,190,"October 26, 1921","Millsaps College, Murray State",fulksjo01
152,Carl Fuller,1971,1972,C,6-9,225,"January 10, 1946",Bethune-Cookman College,fulleca01
153,Hiram Fuller,2004,2004,F,6-9,240,"May 15, 1981",Fresno State,fullehi01
154,Todd Fuller,1997,2001,C,6-11,255,"July 25, 1974",NC State,fulleto02
155,Tony Fuller,1981,1981,G,6-4,180,"September 4, 1958","Vincennes University, Pepperdine",fulleto01
156,Markelle Fultz,2018,2024,G,6-4,209,"May 29, 1998",Washington,fultzma01
157,Lawrence Funderburke,1998,2005,F,6-9,230,"December 15, 1970","Indiana, Ohio State",fundela01
158,Andrew Funk,2024,2024,G,6-5,200,"September 21, 1999","Bucknell, Penn State",funkan01
159,Terry Furlow,1977,1980,G-F,6-4,190,"October 18, 1954",Michigan State,furlote01
160,Johnny Furphy,2025,2025,G-F,6-8,200,"December 8, 2004",Kansas,furphjo01
161,Bill Gabor,1950,1955,G-F,5-11,170,"May 13, 1922",Syracuse,gaborbi01
162,Wenyen Gabriel,2020,2024,F,6-9,205,"March 26, 1997",Kentucky,gabriwe01
163,Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978",UCLA,gadzuda01
164,Daniel Gafford,2020,2025,C-F,6-10,234,"October 1, 1998",Arkansas,gaffoda01
165,Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield,gaide01
166,Elmer Gainer,1948,1950,F-C,6-6,195,"November 22, 1918",DePaul,gaineel01
167,Bill Gaines,1969,1969,G,6-4,185,"March 10, 1946",Texas A&M University-Commerce,gainebi01
168,Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965","UCLA, Loyola Marymount",gaineco01
169,Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",Louisville,gainere01
170,Smokey Gaines,1968,1968,G,6-1,170,"February 27, 1940",LeMoyne-Owen College,gaineda01
171,Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",Georgia,gainesu01
172,Mike Gale,1972,1982,G,6-4,185,"July 18, 1950",Elizabeth City State University,galemi01
173,Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969",Creighton,gallach01
174,Harry Gallatin,1949,1958,F-C,6-6,210,"April 26, 1927",Truman State University,gallaha01
175,Gene Gallette,1947,1947,F,6-2,205,"February 22, 1919",,gillege01
176,Danilo Gallinari,2009,2024,F,6-10,233,"August 8, 1988",,gallida01
177,Langston Galloway,2015,2022,G,6-1,200,"December 9, 1991",Saint Joseph's,gallola01
178,Dave Gambee,1959,1970,F,6-6,215,"April 16, 1937",Oregon State,gambeda01
179,Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965",Iowa,gamblke01
180,Bob Gantt,1947,1947,F-C,6-4,205,"June 22, 1922",Duke,ganttbo01
181,Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",,garbajo01
182,Rubén Garcés,2001,2001,F,6-9,245,"October 17, 1973",Providence,garceru01
183,Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",,garcial01
184,Francisco García,2006,2015,F-G,6-7,195,"December 31, 1981",Louisville,garcifr01
185,Chuck Gardner,1968,1968,F,6-8,205,"September 30, 1944",Colorado,gardnch01
186,Earl Gardner,1949,1949,F,6-3,195,"September 18, 1923",DePauw University,gardnea01
187,Ken Gardner,1976,1976,F,6-5,205,"September 27, 1949",Utah,gardnke01
188,Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",Missouri,gardnth01
189,Vern Gardner,1950,1952,F-C,6-5,200,"May 14, 1925",Utah,gardnve01
190,Jack Garfinkel,1947,1949,G,6-0,190,"June 13, 1918",St. John's,garfija01
191,Patricio Garino,2017,2017,G-F,6-6,210,"May 17, 1993",George Washington,garinpa01
192,Darius Garland,2020,2025,G,6-1,192,"January 26, 2000",Vanderbilt,garlada01
193,Gary Garland,1980,1980,G,6-4,180,"October 12, 1957",DePaul,garlaga01
194,Winston Garland,1988,1995,G,6-2,170,"December 19, 1964",Missouri State,garlawi01
195,Dick Garmaker,1956,1961,G-F,6-3,200,"October 29, 1932","Hibbing Community College, Minnesota",garmadi01
196,Bill Garner,1968,1968,C,6-10,220,"June 17, 1940",University of Portland,garnebi01
197,Chris Garner,1998,2001,G,5-10,156,"February 2, 1975",Memphis,garnech01
198,Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960",Wyoming,garnebi02
199,Kevin Garnett,1996,2016,F-C,6-11,240,"May 19, 1976",,garneke01
200,Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara,garnema01
201,Billy Garrett,2019,2019,G,6-6,213,"October 16, 1994",DePaul,garrebi01
202,Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts",garreca01
203,Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966",Indiana,garrede01
204,Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State,garredi02
205,Dick Garrett,1970,1974,G,6-3,185,"January 31, 1947",Southern Illinois,garredi01
206,Marcus Garrett,2022,2022,G,6-5,205,"November 9, 1998",Kansas,garrema01
207,Rowland Garrett,1973,1977,F,6-6,210,"July 16, 1950",Florida State,garrero01
208,Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966",Rhode Island,garrito01
209,John Garris,1984,1984,F,6-8,205,"June 6, 1959","Michigan, Boston College",garrijo01
210,Kiwane Lemorris Garris,1998,2000,G,6-2,183,"September 24, 1974",Illinois,garriki01
211,Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",Notre Dame,garripa01
212,Usman Garuba,2022,2024,F,6-8,220,"March 9, 2002",,garubus01
213,Jim Garvin,1974,1974,F,6-7,200,"February 5, 1950",Boston University,garviji01
214,Luka Garza,2022,2025,F-C,6-10,235,"December 27, 1998",Iowa,garzalu01
215,Marc Gasol,2009,2021,C,6-11,255,"January 29, 1985",,gasolma01
216,Pau Gasol,2002,2019,C-F,7-0,250,"July 6, 1980",,gasolpa01
217,Frank Gates,1950,1950,G,6-0,160,"April 12, 1920",Sam Houston State University,gatesfr01
218,Kaiser Gates,2024,2024,F,6-8,217,"November 8, 1996",Xavier,gateska01
219,Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion,gatlich01
220,Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion,gattike01
221,Rudy Gay,2007,2023,F,6-8,250,"August 17, 1986",UConn,gayru01
222,Ed Gayda,1951,1951,G-F,6-4,210,"May 16, 1927",Washington State,gaydaed01
223,Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall,gazean01
224,Michael Gbinije,2017,2017,G,6-7,200,"June 5, 1992","Duke, Syracuse",gbinimi01
225,Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973",Arizona,gearyre01
226,Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",Alabama,geeal01
227,Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969","Auburn, Georgia Tech",geigema01
228,Mickaël Gelabale,2007,2013,F,6-7,215,"May 22, 1983",,gelabmi01
229,Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College,georgde01
230,Jack George,1954,1961,G,6-2,190,"November 13, 1928",La Salle,georgja01
231,Keyonte George,2024,2025,G,6-4,185,"November 8, 2003",Baylor,georgke01
232,Kyshawn George,2025,2025,G,6-7,200,"December 12, 2003",Miami (FL),georgky01
233,Paul George,2011,2025,F-G,6-8,220,"May 2, 1990",Fresno State,georgpa01
234,Tate George,1991,1995,G,6-5,190,"May 29, 1968",UConn,georgta01
235,Marcus Georges-Hunt,2017,2018,G,6-5,216,"March 28, 1994",Georgia Tech,georgma01
236,Gus Gerard,1975,1981,F-G,6-8,200,"July 27, 1953",Virginia,gerargu01
237,Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",Texas-San Antonio,gervide01
238,George Gervin,1973,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan,gervige01
239,Gorham Getchell,1947,1947,C,6-4,205,"August 14, 1920",Temple,getchgo01
240,John Gianelli,1973,1980,C-F,6-10,220,"June 10, 1950",University of the Pacific,gianejo01
241,Dick Gibbs,1972,1976,F-G,6-5,210,"December 20, 1948",Texas-El Paso,gibbsdi01
242,Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986",Texas,gibsoda01
243,Dee Gibson,1950,1950,F-G,5-11,175,"August 25, 1923",Western Kentucky,gibsode01
244,Hoot Gibson,1950,1950,F-C,6-5,198,"December 5, 1921",Creighton,gibsoho01
245,Jonathan Gibson,2017,2018,G,6-2,185,"November 8, 1987",New Mexico State,gibsojo01
246,Mel Gibson,1964,1964,G,6-3,180,"December 30, 1940",Western Carolina University,gibsome01
247,Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960",USC Upstate,gibsomi01
248,Taj Gibson,2010,2025,F-C,6-9,232,"June 24, 1985",USC,gibsota01
249,J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985","Kansas, New Mexico",giddejr01
250,Josh Giddey,2022,2025,G,6-8,210,"October 10, 2002",,giddejo01
251,Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985","McNeese State University, Northwestern State University",gildetr01
252,Harry Giles,2019,2024,F-C,6-11,240,"April 22, 1998",Duke,gilesha01
253,Shai Gilgeous-Alexander,2019,2025,G,6-6,200,"July 12, 1998",Kentucky,gilgesh01
254,Anthony Gill,2021,2025,F,6-7,230,"October 17, 1992","South Carolina, Virginia",gillan01
255,Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State,gilled01
256,Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968",Illinois,gillke01
257,Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown,gillebe01
258,Collin Gillespie,2024,2025,G,6-1,195,"June 25, 1999",Villanova,gilleco01
259,Freddie Gillespie,2021,2022,F,6-9,245,"June 14, 1997","Carleton College, Baylor",gillefr01
260,Jack Gillespie,1970,1970,F,6-6,215,"October 1, 1947",Montana State,gilleja01
261,Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964",UNLV,gilliar01
262,Herm Gilliam,1970,1977,G-F,6-3,190,"May 5, 1946",Purdue,gillihe01
263,Artis Gilmore,1972,1988,C,7-2,240,"September 21, 1949","Gardner-Webb University, Jacksonville University",gilmoar01
264,Walt Gilmore,1971,1971,F,6-6,225,"February 27, 1947",Fort Valley State University,gilmowa01
265,Chuck Gilmur,1947,1951,F-C,6-4,225,"August 13, 1922",Washington,gilmuch01
266,Jacob Gilyard,2023,2024,G,5-9,160,"July 14, 1998",Richmond,gilyaja01
267,Manu Ginóbili,2003,2018,G,6-6,205,"July 28, 1977",,ginobma01
268,Gordan Giriček,2003,2008,G-F,6-6,210,"June 20, 1977",,giricgo01
269,Jack Givens,1979,1980,F-G,6-5,205,"September 21, 1956",Kentucky,givenja01
270,Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University,gladnmi01
271,George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918",UNC,glamage01
272,Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967","Delta State University, Ole Miss",glassge01
273,Mike Glenn,1978,1987,G,6-2,175,"September 10, 1955",Southern Illinois,glennmi01
274,Normie Glick,1950,1950,F,6-7,190,"November 10, 1927",Loyola Marymount,glickno01
275,Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",,gloucge01
276,Clarence Glover,1972,1972,F,6-8,210,"November 1, 1947",Western Kentucky,glovecl01
277,Dion Glover,2000,2005,G,6-5,228,"October 22, 1978",Georgia Tech,glovedi01
278,Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",,glynian01
279,Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959",Duke,gminsmi01
280,Rudy Gobert,2014,2025,C,7-1,258,"June 26, 1992",,goberru01
281,Dan Godfread,1991,1992,C,6-10,250,"June 14, 1967",University of Evansville,godfrda01
282,Tom Gola,1956,1966,G-F,6-6,205,"January 13, 1933",La Salle,golato01
283,Ben Goldfaden,1947,1947,F,6-1,185,"September 6, 1913",George Washington,goldfbe01
284,Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",Houston,goldwan01
285,Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence,gomesry01
286,Glen Gondrezick,1978,1983,F-G,6-6,218,"August 30, 1955",UNLV,gondrgl01
287,Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine,gondrgr01
288,Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",Kansas,goodedr01
289,Gail Goodrich,1966,1979,G,6-1,170,"April 23, 1943",UCLA,goodrga01
290,Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976",Princeton,goodrst01
291,Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",Kentucky,goodwar01
292,Brandon Goodwin,2019,2022,G,6-0,180,"October 2, 1995","Central Florida, Florida Gulf Coast",goodwbr01
293,Jordan Goodwin,2022,2024,G,6-3,200,"October 23, 1998",Saint Louis,goodwjo01
294,Pop Goodwin,1947,1948,F-C,6-2,203,"December 22, 1920",,goodwpo01
295,Aaron Gordon,2015,2025,F,6-8,235,"September 16, 1995",Arizona,gordoaa01
296,Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",UConn,gordobe01
297,Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990","UCLA, New Mexico",gordodr01
298,Eric Gordon,2009,2025,G-F,6-3,215,"December 25, 1988",Indiana,gordoer01
299,Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962",Louisville,gordola01
300,Paul Gordon,1950,1950,F,6-3,185,"April 8, 1927",Notre Dame,gordopa01
301,Marcin Gortat,2008,2019,C-F,6-11,240,"February 17, 1984",,gortama01
302,Jazian Gortman,2025,2025,G,6-2,184,"April 14, 2003",,gortmja01
303,Leo Gottlieb,1947,1948,G,5-11,180,"November 28, 1920",,gottlle01
304,Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston,goudean01
