Player,Team,From,To,Position,Height,Weight,Birth Date,College,bball_id,draft_year,draft_round,draft_number
David Robinson,Unknown,1990.0,2003.0,C,7-1,235.0,"August 6, 1965",United States Naval Academy,robinda01,1987.0,1.0,1.0
David Roddy,Atlanta Hawks,2023.0,2025.0,F,6-4,255.0,"March 27, 2001",Colorado State,roddyda01,2022.0,1.0,23.0
David Stockton,,2015.0,2018.0,G,5-11,165.0,"June 24, 1991",Gonzaga,stockda01,,,
David Thirdkill,Unknown,1983.0,1987.0,F-G,6-7,195.0,"April 12, 1960",Bradley,thirdda01,1982.0,1.0,15.0
David Thompson,Unknown,1976.0,1984.0,G-F,6-4,195.0,"July 13, 1954",NC State,thompda01,1975.0,1.0,1.0
David Vanterpool,,2001.0,2001.0,G,6-5,200.0,"March 31, 1973",St. Bonaventure,vanteda01,,,
David Vaughn,Unknown,1975.0,1976.0,C,6-11,220.0,"June 4, 1952",Oral Roberts,vaughda01,1975.0,2.0,63.0
David Vaughn,Unknown,1996.0,1999.0,F,6-9,240.0,"March 23, 1973",Memphis,vaughda02,1975.0,2.0,63.0
David Wear,,2015.0,2015.0,F,6-10,230.0,"September 21, 1990","UNC, UCLA",wearda01,,,
David Wesley,,1994.0,2007.0,G,6-0,190.0,"November 14, 1970",Baylor,wesleda01,,,
David West,Unknown,2004.0,2018.0,F-C,6-9,250.0,"August 29, 1980",Xavier,westda01,2003.0,1.0,18.0
David Wingate,Unknown,1987.0,2001.0,G-F,6-5,185.0,"December 15, 1963",Georgetown,wingada01,1986.0,2.0,44.0
David Wood,,1989.0,1997.0,F,6-9,227.0,"November 30, 1964",Nevada,woodda01,,,
Davion Mitchell,Toronto Raptors,2022.0,2025.0,G,6-2,205.0,"September 5, 1998","Auburn, Baylor",mitchda01,2021.0,1.0,9.0
Davon Reed,Unknown,2018.0,2023.0,G,6-5,208.0,"June 11, 1995",Miami (FL),reedda01,2017.0,2.0,32.0
Day'Ron Sharpe,Brooklyn Nets,2022.0,2025.0,C,6-11,265.0,"November 6, 2001",UNC,sharpda01,2021.0,1.0,29.0
De'Aaron Fox,Sacramento Kings,2018.0,2025.0,G,6-3,185.0,"December 20, 1997",Kentucky,foxde01,2017.0,1.0,5.0
De'Andre Hunter,Atlanta Hawks,2020.0,2025.0,F,6-8,225.0,"December 2, 1997",Virginia,huntede01,2019.0,1.0,4.0
De'Anthony Melton,Brooklyn Nets,2019.0,2025.0,G,6-2,200.0,"May 28, 1998",USC,meltode01,2018.0,2.0,46.0
DeAndre Jordan,Denver Nuggets,2009.0,2025.0,C,6-11,265.0,"July 21, 1988",Texas A&M,jordade01,2008.0,2.0,35.0
DeAndre Liggins,Unknown,2012.0,2018.0,G,6-6,209.0,"March 31, 1988",Kentucky,liggide01,2011.0,2.0,53.0
DeAndre' Bembry,Unknown,2017.0,2022.0,F,6-5,210.0,"July 4, 1994",Saint Joseph's,bembrde01,2016.0,1.0,21.0
DeJon Jarreau,,2022.0,2024.0,G,6-5,185.0,"January 23, 1998","UMass, Houston",jarrede01,,,
DeJuan Blair,Unknown,2010.0,2016.0,F-C,6-7,270.0,"April 22, 1989",Pitt,blairde01,2009.0,2.0,37.0
DeJuan Wheat,Unknown,1998.0,1999.0,G,6-0,165.0,"October 14, 1973",Louisville,wheatde01,1997.0,2.0,52.0
DeMar DeRozan,Sacramento Kings,2010.0,2025.0,G-F,6-6,220.0,"August 7, 1989",USC,derozde01,2009.0,1.0,9.0
DeMarco Johnson,Unknown,2000.0,2000.0,F,6-9,245.0,"October 6, 1975",UNC Charlotte,johnsde02,1998.0,2.0,38.0
DeMarcus Cousins,Unknown,2011.0,2022.0,C-F,6-10,270.0,"August 13, 1990",Kentucky,couside01,2010.0,1.0,5.0
DeMarcus Nelson,,2009.0,2009.0,G,6-4,200.0,"November 2, 1985",Duke,nelsode01,,,
DeMarre Carroll,Unknown,2010.0,2020.0,F,6-6,215.0,"July 27, 1986","Vanderbilt, Missouri",carrode01,2009.0,1.0,27.0
DeQuan Jones,,2013.0,2013.0,F,6-8,221.0,"June 20, 1990",Miami (FL),jonesde01,,,
DeSagana Diop,Unknown,2002.0,2013.0,C,7-0,300.0,"January 30, 1982",,diopde01,2001.0,1.0,8.0
DeShawn Stevenson,Unknown,2001.0,2013.0,G,6-5,210.0,"April 3, 1981",,stevede01,2000.0,1.0,23.0
DeVaughn Akoon-Purcell,,2019.0,2019.0,G,6-6,200.0,"June 5, 1993",Illinois State,akoonde01,,,
DeWayne Scales,Unknown,1981.0,1984.0,F,6-8,208.0,"December 28, 1958",LSU,scalede01,1980.0,2.0,36.0
Dean Garrett,Unknown,1997.0,2002.0,C,6-10,225.0,"November 27, 1966",Indiana,garrede01,1988.0,2.0,38.0
Dean Meminger,Unknown,1972.0,1977.0,G,6-0,175.0,"May 13, 1948",Marquette,meminde01,1971.0,1.0,16.0
Dean Oliver,,2002.0,2003.0,G,5-11,180.0,"November 5, 1978",Iowa,olivede01,,,
Dean Tolson,Unknown,1975.0,1978.0,F,6-8,190.0,"November 25, 1951",Arkansas,tolsode01,1974.0,2.0,80.0
Dean Wade,,2020.0,2025.0,F,6-9,228.0,"November 20, 1996",Kansas State,wadede01,,,
Deandre Ayton,Portland Trail Blazers,2019.0,2025.0,C,7-0,250.0,"July 23, 1998",Arizona,aytonde01,2018.0,1.0,1.0
Deb Smith,,1947.0,1947.0,F,6-3,180.0,"January 7, 1920",Utah,smithde01,,,
Dedric Willoughby,,2000.0,2000.0,G-F,6-3,180.0,"May 27, 1974","New Orleans, Iowa State",willode01,,,
Dee Brown,Unknown,1991.0,2002.0,G,6-1,160.0,"November 29, 1968",Jacksonville University,brownde01,1990.0,1.0,19.0
Dee Brown,Unknown,2007.0,2009.0,G,6-0,185.0,"August 17, 1984",Illinois,brownde03,1990.0,1.0,19.0
Dee Gibson,,1950.0,1950.0,F-G,5-11,175.0,"August 25, 1923",Western Kentucky,gibsode01,,,
Deividas Sirvydis,Unknown,2021.0,2022.0,G-F,6-8,190.0,"June 10, 2000",,sirvyde01,2019.0,2.0,37.0
Dejounte Murray,New Orleans Pelicans,2017.0,2025.0,G,6-5,180.0,"September 19, 1996",Washington,murrade01,2016.0,1.0,29.0
Del Beshore,,1979.0,1980.0,G,5-11,165.0,"November 29, 1956",California University of Pennslyvania,beshode01,,,
Delaney Rudd,Unknown,1990.0,1993.0,G,6-2,180.0,"November 8, 1962",Wake Forest,ruddde01,1985.0,2.0,83.0
Dell Curry,Unknown,1987.0,2002.0,G,6-4,190.0,"June 25, 1964",Virginia Tech,curryde01,1986.0,1.0,15.0
Dell Demps,,1994.0,1997.0,G,6-3,205.0,"February 12, 1970",University of the Pacific,dempsde01,,,
Delon Wright,Milwaukee Bucks,2016.0,2025.0,G,6-5,185.0,"April 26, 1992",Utah,wrighde01,2015.0,1.0,20.0
Delonte West,Unknown,2005.0,2012.0,G,6-4,180.0,"July 26, 1983",Saint Joseph's,westde01,2004.0,1.0,24.0
Demetris Nichols,Unknown,2008.0,2009.0,F,6-8,216.0,"September 4, 1984",Syracuse,nichode01,2007.0,2.0,53.0
Demetrius Calip,,1992.0,1992.0,G,6-1,165.0,"November 18, 1969",Michigan,calipde01,,,
Demetrius Jackson,Unknown,2017.0,2019.0,G,6-1,201.0,"September 7, 1994",Notre Dame,jacksde01,2016.0,2.0,45.0
Deng Adel,,2019.0,2019.0,F,6-7,200.0,"February 1, 1997",Louisville,adelde01,,,
Deng Gai,,2006.0,2006.0,F,6-9,250.0,"March 22, 1982",Fairfield,gaide01,,,
Deni Avdija,Portland Trail Blazers,2021.0,2025.0,G-F,6-9,210.0,"January 3, 2001",,avdijde01,2020.0,1.0,9.0
Dennis Awtrey,Unknown,1971.0,1982.0,C,6-10,235.0,"February 22, 1948",Santa Clara,awtrede01,1970.0,2.0,46.0
Dennis Bell,Unknown,1974.0,1976.0,F,6-5,185.0,"June 2, 1951",Drake University,bellde01,1973.0,2.0,83.0
Dennis Boyd,Unknown,1979.0,1979.0,G,6-1,175.0,"May 21, 1954",Detroit Mercy,boydde01,1977.0,2.0,72.0
Dennis DuVal,Unknown,1975.0,1976.0,G,6-3,175.0,"March 31, 1952",Syracuse,duvalde01,1974.0,1.0,30.0
Dennis Grey,,1969.0,1970.0,C-F,6-8,215.0,"August 26, 1947",California Western Uiversity,greyde01,,,
Dennis Hamilton,,1968.0,1971.0,F,6-8,210.0,"May 8, 1944",Arizona State,hamilde01,,,
Dennis Holman,,1968.0,1968.0,G,6-3,175.0,"October 8, 1945",SMU,holmade01,,,
Dennis Hopson,Unknown,1988.0,1992.0,G-F,6-5,200.0,"April 22, 1965",Ohio State,hopsode01,1987.0,1.0,3.0
Dennis Horner,,2012.0,2012.0,F,6-9,230.0,"February 5, 1988",NC State,hornede01,,,
Dennis Johnson,Unknown,1977.0,1990.0,G,6-4,185.0,"September 18, 1954","Harbor College, Pepperdine",johnsde01,1973.0,2.0,95.0
Dennis Nutt,,1987.0,1987.0,G,6-2,170.0,"March 25, 1963",TCU,nuttde01,,,
Dennis Rodman,Unknown,1987.0,2000.0,F,6-7,210.0,"May 13, 1961","North Central Texas College, Southeastern Oklahoma State University",rodmade01,1986.0,1.0,27.0
Dennis Schröder,,2014.0,2025.0,G,6-1,172.0,"September 15, 1993",,schrode01,,,
Dennis Scott,Unknown,1991.0,2000.0,F,6-8,229.0,"September 5, 1968",Georgia Tech,scottde01,1990.0,1.0,4.0
Dennis Smith Jr.,Unknown,2018.0,2024.0,G,6-2,205.0,"November 25, 1997",NC State,smithde03,2017.0,1.0,9.0
Dennis Stewart,Unknown,1971.0,1971.0,F,6-6,220.0,"April 11, 1947",Michigan,stewade01,1969.0,2.0,44.0
Dennis Van Zant,Unknown,1976.0,1976.0,F,6-9,210.0,"June 1, 1952",Azusa Pacific University,vanzade01,1974.0,2.0,120.0
Dennis Wuycik,Unknown,1973.0,1975.0,F,6-6,215.0,"March 29, 1950",UNC,wuycide01,1972.0,1.0,27.0
Denzel Valentine,Unknown,2017.0,2022.0,G,6-4,220.0,"November 16, 1993",Michigan State,valende01,2016.0,1.0,14.0
Deonte Burton,,2019.0,2023.0,G,6-4,240.0,"January 31, 1994","Marquette, Iowa State",burtode02,,,
DerMarr Johnson,Unknown,2001.0,2008.0,F,6-9,201.0,"May 5, 1980",Cincinnati,johnsde03,2000.0,1.0,6.0
Dereck Lively II,Dallas Mavericks,2024.0,2025.0,C,7-1,230.0,"February 12, 2004",Duke,livelde01,2023.0,1.0,12.0
Derek Anderson,Unknown,1998.0,2008.0,G,6-5,194.0,"July 18, 1974","Ohio State, Kentucky",anderde01,1997.0,1.0,13.0
Derek Fisher,Unknown,1997.0,2014.0,G,6-1,200.0,"August 9, 1974",Little Rock,fishede01,1996.0,1.0,24.0
Derek Grimm,,1998.0,1998.0,F,6-9,230.0,"August 3, 1974",Missouri,grimmde01,,,
Derek Harper,Unknown,1984.0,1999.0,G,6-4,185.0,"October 13, 1961",Illinois,harpede01,1983.0,1.0,11.0
Derek Hood,,2000.0,2000.0,F,6-8,222.0,"December 22, 1976",Arkansas,hoodde01,,,
Derek Smith,Unknown,1983.0,1991.0,G-F,6-6,205.0,"November 1, 1961",Louisville,smithde02,1982.0,2.0,35.0
Derek Strong,Unknown,1992.0,2001.0,F,6-8,220.0,"February 9, 1968",Xavier,stronde01,1990.0,2.0,47.0
Dereon Seabron,,2023.0,2024.0,G,6-7,180.0,"May 26, 2000",NC State,seabrde01,,,
Dermie O'Connell,,1949.0,1950.0,G,6-0,174.0,"April 13, 1928",Holy Cross,oconnde01,,,
Deron Williams,Unknown,2006.0,2017.0,G,6-3,200.0,"June 26, 1984",Illinois,willide01,2005.0,1.0,3.0
Derrek Dickey,Unknown,1974.0,1978.0,F,6-7,218.0,"March 20, 1951",Cincinnati,dickede01,1973.0,1.0,29.0
Derrick Alston,Unknown,1995.0,1997.0,F,6-11,225.0,"August 20, 1972",Duquesne,alstode01,1994.0,2.0,33.0
Derrick Brown,Unknown,2010.0,2012.0,F,6-7,225.0,"September 8, 1987",Xavier,brownde04,2009.0,2.0,40.0
Derrick Byars,Unknown,2012.0,2012.0,F,6-7,220.0,"April 25, 1984","Virginia, Vanderbilt",byarsde01,2007.0,2.0,42.0
Derrick Caracter,Unknown,2011.0,2011.0,F,6-9,275.0,"May 4, 1988","Louisville, Texas-El Paso",caracde01,2010.0,2.0,58.0
Derrick Chievous,Unknown,1989.0,1991.0,F,6-7,195.0,"July 3, 1967",Missouri,chievde01,1988.0,1.0,16.0
Derrick Coleman,Unknown,1991.0,2005.0,F-C,6-10,230.0,"June 21, 1967",Syracuse,colemde01,1990.0,1.0,1.0
Derrick Dial,Unknown,2000.0,2004.0,G,6-4,184.0,"December 20, 1975",Eastern Michigan,dialde01,1998.0,2.0,52.0
Derrick Favors,Unknown,2011.0,2022.0,F-C,6-9,265.0,"July 15, 1991",Georgia Tech,favorde01,2010.0,1.0,3.0
Derrick Gervin,Unknown,1990.0,1991.0,F,6-8,200.0,"March 28, 1963",Texas-San Antonio,gervide01,1985.0,2.0,90.0
Derrick Jones Jr.,,2017.0,2025.0,F,6-5,210.0,"February 15, 1997",UNLV,jonesde02,,,
Derrick McKey,Unknown,1988.0,2002.0,F-C,6-9,205.0,"October 10, 1966",Alabama,mckeyde01,1987.0,1.0,9.0
Derrick Phelps,,1995.0,1995.0,G,6-4,181.0,"July 31, 1972",UNC,phelpde01,,,
Derrick Rose,Unknown,2009.0,2024.0,G,6-3,200.0,"October 4, 1988",Memphis,rosede01,2008.0,1.0,1.0
Derrick Rowland,Unknown,1986.0,1986.0,G,6-5,195.0,"June 21, 1959",State University of New York at Potsdam,rowlade01,1981.0,2.0,211.0
Derrick Walton,,2018.0,2022.0,G,6-0,189.0,"April 3, 1995",Michigan,waltode01,,,
Derrick White,Boston Celtics,2018.0,2025.0,G,6-4,190.0,"July 2, 1994","Colorado-Colorado Springs, Colorado",whitede01,2017.0,1.0,29.0
Derrick Williams,Unknown,2012.0,2018.0,F,6-8,240.0,"May 25, 1991",Arizona,willide02,2011.0,1.0,2.0
Derrick Zimmerman,Unknown,2006.0,2006.0,G,6-3,195.0,"December 2, 1981",Mississippi State,zimmede01,2003.0,2.0,40.0
Desmon Farmer,,2007.0,2009.0,G,6-5,220.0,"October 7, 1981",USC,farmede01,,,
Desmond Bane,Memphis Grizzlies,2021.0,2025.0,G,6-5,215.0,"June 25, 1998",TCU,banede01,2020.0,1.0,30.0
Desmond Ferguson,,2004.0,2004.0,G-F,6-7,203.0,"July 22, 1977","Missouri, Detroit Mercy",fergude01,,,
Desmond Mason,Unknown,2001.0,2010.0,F,6-7,224.0,"October 11, 1977",Oklahoma State,masonde01,2000.0,1.0,17.0
Desmond Penigar,,2004.0,2004.0,F,6-7,245.0,"July 16, 1981",Utah State University,penigde01,,,
Detlef Schrempf,Unknown,1986.0,2001.0,F-C,6-10,235.0,"January 21, 1963",Washington,schrede01,1985.0,1.0,8.0
Devean George,Unknown,2000.0,2010.0,G-F,6-8,220.0,"August 29, 1977",Augsburg College,georgde01,1999.0,1.0,23.0
Devin Booker,Phoenix Suns,2016.0,2025.0,G,6-6,206.0,"October 30, 1996",Kentucky,bookede01,2015.0,1.0,13.0
Devin Brown,,2003.0,2010.0,G,6-5,220.0,"December 30, 1978",Texas-San Antonio,brownde02,,,
Devin Cannady,,2021.0,2022.0,G,6-2,183.0,"May 21, 1996",Princeton,cannade01,,,
Devin Carter,Sacramento Kings,2025.0,2025.0,G,6-2,195.0,"March 18, 2002","South Carolina, Providence",cartede02,2024.0,1.0,13.0
Devin Durrant,Unknown,1985.0,1986.0,F,6-7,200.0,"October 20, 1960",BYU,durrade01,1984.0,1.0,25.0
Devin Ebanks,Unknown,2011.0,2013.0,F,6-9,215.0,"October 28, 1989",West Virginia,ebankde01,2010.0,2.0,43.0
Devin Gray,,1997.0,2000.0,F,6-7,240.0,"May 31, 1972",Clemson,grayde01,,,
Devin Green,,2006.0,2006.0,G,6-7,210.0,"October 25, 1982",Hampton,greende01,,,
Devin Harris,Unknown,2005.0,2019.0,G,6-3,185.0,"February 27, 1983",Wisconsin,harride01,2004.0,1.0,5.0
Devin Robinson,,2018.0,2019.0,F,6-8,200.0,"March 7, 1995",Florida,robinde01,,,
Devin Vassell,San Antonio Spurs,2021.0,2025.0,G-F,6-5,200.0,"August 23, 2000",Florida State,vassede01,2020.0,1.0,11.0
Devon Dotson,,2021.0,2023.0,G,6-2,185.0,"August 2, 1999",Kansas,dotsode01,,,
Devon Hall,Unknown,2020.0,2020.0,G,6-2,215.0,"July 7, 1995",Virginia,hallde01,2018.0,2.0,53.0
Devontae Cacok,,2020.0,2022.0,F,6-7,240.0,"October 8, 1996",UNC Wilmington,cacokde01,,,
Devonte' Graham,Unknown,2019.0,2024.0,G,6-1,195.0,"February 22, 1995",Kansas,grahade01,2018.0,2.0,34.0
Devyn Marble,Unknown,2015.0,2016.0,G-F,6-6,200.0,"September 21, 1992",Iowa,marblde01,2014.0,2.0,56.0
Dewan Hernandez,Unknown,2020.0,2020.0,F,6-10,235.0,"December 9, 1996",Miami (FL),hernade01,2019.0,2.0,59.0
Dewayne Dedmon,,2014.0,2023.0,C,7-0,245.0,"August 12, 1989",USC,dedmode01,,,
Dewitt Menyard,,1968.0,1968.0,C,6-10,210.0,"May 24, 1944","Allan Hancock College, Utah",menyade01,,,
Dexter Boney,,1997.0,1997.0,G,6-4,185.0,"April 27, 1970",UNLV,boneyde01,,,
Dexter Cambridge,,1993.0,1993.0,F,6-7,224.0,"January 29, 1970",Texas,cambrde01,,,
Dexter Dennis,,2024.0,2024.0,G,6-5,210.0,"February 9, 1999","Wichita State, Texas A&M",dennide01,,,
Dexter Pittman,Unknown,2011.0,2014.0,C,6-11,308.0,"March 2, 1988",Texas,pittmde01,2010.0,2.0,32.0
Dexter Shouse,Unknown,1990.0,1990.0,G,6-2,200.0,"March 24, 1963",University of South Alabama,shousde01,1985.0,2.0,92.0
Dexter Westbrook,Unknown,1968.0,1968.0,F,6-8,190.0,,Providence,westbde01,1967.0,2.0,44.0
Deyonta Davis,Unknown,2017.0,2019.0,C-F,6-11,237.0,"December 2, 1996",Michigan State,davisde01,2016.0,2.0,31.0
Diamond Stone,Unknown,2017.0,2017.0,C,6-11,255.0,"February 10, 1997",Maryland,stonedi01,2016.0,2.0,40.0
Diante Garrett,,2013.0,2014.0,G,6-4,190.0,"November 3, 1988",Iowa State,garredi02,,,
Dick Atha,,1956.0,1958.0,G,6-2,190.0,"September 21, 1931",Indiana State University,athadi01,,,
Dick Barnett,Unknown,1960.0,1974.0,G-F,6-4,190.0,"October 2, 1936",Tennessee State,barnedi01,1959.0,1.0,5.0
Dick Bunt,,1953.0,1953.0,G,6-0,170.0,"July 13, 1930",NYU,buntdi01,,,
Dick Clark,,1968.0,1969.0,G,6-4,190.0,"January 5, 1944",Eastern Kentucky University,clarkri01,,,
Dick Cunningham,Unknown,1969.0,1975.0,C,6-10,245.0,"July 11, 1946",Murray State,cunnidi01,1968.0,1.0,21.0
Dick Dickey,,1952.0,1952.0,G,6-1,175.0,"October 26, 1926",NC State,dickedi01,,,
Dick Duckett,Unknown,1958.0,1958.0,G,6-1,185.0,"March 25, 1933",St. John's,duckedi01,1957.0,1.0,9.0
Dick Farley,,1955.0,1959.0,G-F,6-4,190.0,"April 13, 1932",Indiana,farledi01,,,
Dick Fitzgerald,,1947.0,1948.0,F,6-2,175.0,"November 18, 1920",Fordham,fitzgdi01,,,
Dick Garmaker,Unknown,1956.0,1961.0,G-F,6-3,200.0,"October 29, 1932","Hibbing Community College, Minnesota",garmadi01,1955.0,1.0,6.0
Dick Garrett,Unknown,1970.0,1974.0,G,6-3,185.0,"January 31, 1947",Southern Illinois,garredi01,1969.0,1.0,27.0
Dick Gibbs,Unknown,1972.0,1976.0,F-G,6-5,210.0,"December 20, 1948",Texas-El Paso,gibbsdi01,1971.0,2.0,49.0
Dick Groat,,1953.0,1953.0,G,5-11,180.0,"November 4, 1930",Duke,groatdi01,,,
Dick Grubar,Unknown,1970.0,1970.0,G,6-4,184.0,"July 26, 1947",UNC,grubadi01,1969.0,2.0,83.0
Dick Hemric,Unknown,1956.0,1957.0,F,6-6,220.0,"August 29, 1933",Wake Forest,hemridi01,1955.0,1.0,12.0
Dick Holub,,1948.0,1948.0,C,6-6,205.0,"October 29, 1921",Long Island University,holubdi01,,,
Dick Knostman,,1954.0,1954.0,C,6-6,215.0,"August 9, 1931",Kansas State,knostdi01,,,
Dick Lee,,1968.0,1968.0,F,6-6,,,Washington,leedi01,,,
Dick McGuire,,1950.0,1960.0,G,6-0,180.0,"January 25, 1926","St. John's, Dartmouth College",mcguidi01,,,
Dick Mehen,,1950.0,1952.0,F-C,6-5,195.0,"May 20, 1922",Tennessee,mehendi01,,,
Dick Miller,Unknown,1981.0,1981.0,F,6-6,215.0,"April 26, 1958",Toledo,milledi01,1956.0,2.0,67.0
Dick Murphy,,1947.0,1947.0,G,6-1,175.0,"March 10, 1921",Manhattan University,murphdi01,,,
Dick Nemelka,Unknown,1971.0,1971.0,G,6-0,175.0,"October 1, 1943",BYU,nemeldi01,1966.0,2.0,44.0
Dick O'Keefe,,1948.0,1951.0,G-F,6-2,185.0,"September 29, 1923",Santa Clara,okeefdi01,,,
Dick Ricketts,Unknown,1956.0,1958.0,F-C,6-7,215.0,"December 4, 1933",Duquesne,rickedi01,1955.0,1.0,1.0
Dick Rosenthal,,1955.0,1957.0,F-G,6-5,205.0,"January 20, 1930",Notre Dame,rosendi01,,,
Dick Schnittker,,1951.0,1958.0,F,6-5,200.0,"May 27, 1928",Ohio State,schnidi01,,,
Dick Schulz,,1947.0,1950.0,F-G,6-2,192.0,"January 3, 1917",Wisconsin,schuldi01,,,
Dick Shrider,,1949.0,1949.0,G,6-2,190.0,"February 7, 1923",Ohio University,shriddi01,,,
Dick Snyder,Unknown,1967.0,1979.0,G-F,6-5,207.0,"February 1, 1944",Davidson,snydedi01,1966.0,1.0,14.0
Dick Surhoff,,1953.0,1954.0,F,6-4,210.0,"November 16, 1929",Long Island University,surhodi01,,,
Dick Triptow,,1949.0,1950.0,G-F,6-0,170.0,"November 3, 1922",DePaul,triptdi01,,,
Dick Van Arsdale,Unknown,1966.0,1977.0,G-F,6-5,210.0,"February 22, 1943",Indiana,vanardi01,1965.0,1.0,13.0
Dick Wehr,,1949.0,1949.0,F,6-4,180.0,"December 9, 1925",Rice University,wehrdi01,,,
Dickey Simpkins,Unknown,1995.0,2002.0,F,6-9,248.0,"April 6, 1972",Providence,simpkdi01,1994.0,1.0,21.0
Didi Louzada,Unknown,2021.0,2022.0,G,6-5,188.0,"February 7, 1999",,louzama01,2019.0,2.0,35.0
Dijon Thompson,Unknown,2006.0,2007.0,G-F,6-7,195.0,"February 23, 1983",UCLA,thompdi01,2005.0,2.0,54.0
Dike Eddleman,,1950.0,1953.0,F-G,6-3,189.0,"December 27, 1922",Illinois,eddledi01,,,
Dikembe Mutombo,Unknown,1992.0,2009.0,C,7-2,245.0,"June 25, 1966",Georgetown,mutomdi01,1991.0,1.0,4.0
Dillard Crocker,,1949.0,1953.0,F-G,6-4,205.0,"January 19, 1925",Western Michigan,crockdi01,,,
Dillon Brooks,Houston Rockets,2018.0,2025.0,F-G,6-6,225.0,"January 22, 1996",Oregon,brookdi01,2017.0,2.0,45.0
Dillon Jones,Oklahoma City Thunder,2025.0,2025.0,F,6-5,240.0,"October 29, 2001",Weber State,jonesdi01,2024.0,1.0,26.0
Dino Martin,,1947.0,1948.0,G,5-8,160.0,"May 25, 1920",Georgetown,martidi01,,,
Dino Radja,Unknown,1994.0,1997.0,F-C,6-11,225.0,"April 24, 1967",,radjadi01,1989.0,2.0,40.0
Dion Glover,Unknown,2000.0,2005.0,G,6-5,228.0,"October 22, 1978",Georgia Tech,glovedi01,1999.0,1.0,20.0
Dion Waiters,Unknown,2013.0,2020.0,G,6-3,215.0,"December 10, 1991",Syracuse,waitedi01,2012.0,1.0,4.0
Dionte Christmas,,2014.0,2014.0,G,6-5,205.0,"September 15, 1986",Temple,chrisdi01,,,
Dirk Minniefield,Unknown,1986.0,1988.0,G,6-3,180.0,"January 17, 1961",Kentucky,minnidi01,1983.0,2.0,33.0
Dirk Nowitzki,Unknown,1999.0,2019.0,F-C,7-0,245.0,"June 19, 1978",,nowitdi01,1998.0,1.0,9.0
Dmytro Skapintsev,,2024.0,2024.0,C,7-1,260.0,"May 12, 1998",Cal State Northridge,skapidm01,,,
Doc Rivers,Unknown,1984.0,1996.0,G,6-4,185.0,"October 13, 1961",Marquette,riverdo01,1983.0,2.0,31.0
Dolph Schayes,,1950.0,1964.0,F-C,6-8,220.0,"May 19, 1928",NYU,schaydo01,,,
Domantas Sabonis,Sacramento Kings,2017.0,2025.0,C-F,6-10,240.0,"May 3, 1996",Gonzaga,sabondo01,2016.0,1.0,11.0
Dominic McGuire,Unknown,2008.0,2013.0,F,6-9,220.0,"October 20, 1985","California, Fresno State",mcguido01,2007.0,2.0,47.0
Dominic Pressley,Unknown,1989.0,1989.0,G,6-2,170.0,"May 30, 1964",Boston College,pressdo01,1986.0,2.0,99.0
Dominick Barlow,,2023.0,2025.0,F,6-9,221.0,"May 26, 2003",,barlodo01,,,
Dominique Jones,Unknown,2011.0,2013.0,G,6-4,215.0,"October 15, 1988",South Florida,jonesdo02,2010.0,1.0,25.0
Dominique Wilkins,Unknown,1983.0,1999.0,F-G,6-8,215.0,"January 12, 1960",Georgia,wilkido01,1982.0,1.0,3.0
Don Ackerman,,1954.0,1954.0,G,6-0,183.0,"September 4, 1930",Long Island University,ackerdo01,,,
Don Adams,Unknown,1971.0,1977.0,F,6-6,210.0,"November 27, 1947",Northwestern,adamsdo01,1970.0,2.0,120.0
Don Anielak,,1955.0,1955.0,F,6-7,190.0,"November 1, 1930",Missouri State,anieldo01,,,
Don Asmonga,,1954.0,1954.0,G,6-2,185.0,"February 15, 1928",Alliance College,asmondo01,,,
Don Barksdale,,1952.0,1955.0,F-C,6-6,200.0,"March 31, 1923",UCLA,barksdo01,,,
Don Bielke,,1956.0,1956.0,C,6-7,240.0,"May 10, 1932",Valparaiso,bielkdo01,,,
Don Boven,,1950.0,1953.0,F-G,6-4,210.0,"March 6, 1925",Western Michigan,bovendo01,,,
Don Buse,Unknown,1973.0,1985.0,G,6-4,190.0,"August 10, 1950",University of Evansville,busedo01,1972.0,2.0,34.0
Don Carlos,Unknown,1969.0,1969.0,G-F,6-5,210.0,"March 3, 1944",Otterbein College,carlodo01,1967.0,2.0,83.0
Don Carlson,,1947.0,1951.0,G-F,6-0,170.0,"March 22, 1919",Minnesota,carlsdo01,,,
Don Chaney,Unknown,1969.0,1980.0,G,6-5,210.0,"March 22, 1946",Houston,chanedo01,1968.0,1.0,12.0
Don Collins,Unknown,1981.0,1987.0,F-G,6-6,190.0,"November 28, 1958",Washington State,collido02,1980.0,1.0,18.0
Don Dee,Unknown,1969.0,1969.0,F,6-8,210.0,"August 9, 1943","Saint Louis, Saint Mary of the Plains College",deedo01,1968.0,1.0,25.0
Don Eliason,,1947.0,1947.0,F,6-2,210.0,"July 24, 1918",Hamline University,eliasdo01,,,
Don Ford,Unknown,1976.0,1982.0,F,6-9,215.0,"December 31, 1952","New Mexico, UC Santa Barbara",forddo01,1975.0,2.0,92.0
Don Grate,,1950.0,1950.0,F-G,6-2,185.0,"August 27, 1923",Ohio State,gratedo01,,,
Don Hanrahan,,1953.0,1953.0,F,6-7,200.0,"February 6, 1929",Loyola Chicago,hanrado01,,,
Don Henriksen,,1953.0,1955.0,F-C,6-7,225.0,"October 10, 1929",California,henrido01,,,
