"full_name","From","To","Pos","Ht","Wt","Birth Date","Colleges","player_id"
"Jalen Johnson",2022,2026,"F","6-8",219,"December 18 2001","Duke","johnsja05"
"James Johnson",2010,2025,"F","6-7",240,"February 20 1987","Wake Forest","johnsja01"
"Keldon Johnson",2020,2026,"G","6-6",220,"October 11 1999","Kentucky","johnske04"
"Keon Johnson",2022,2025,"G","6-5",185,"March 10 2002","Tennessee","johnske07"
"Keshad Johnson",2025,2026,"F","6-6",225,"June 23 2001","San Diego State Arizona","johnske10"
"Tre Johnson",2026,2026,"G","6-5",190,"March 7 2006","Texas","johnstr03"
"Nikola Joki\u0107",2016,2026,"C-F","6-11",284,"February 19 1995","","jokicni01"
"Colby Jones",2024,2026,"G","6-6",207,"May 28 2002","Xavier","jonesco02"
"Curtis Jones",2026,2026,"G","6-3",195,"December 4 2001","Indian Hills Community College Buffalo Iowa State","jonescu01"
"Derrick Jones Jr.",2017,2026,"F","6-6",210,"February 15 1997","UNLV","jonesde02"
"Dillon Jones",2025,2026,"F","6-5",235,"October 29 2001","Weber State","jonesdi01"
"Herbert Jones",2022,2026,"F","6-7",206,"October 6 1998","Alabama","joneshe01"
"Isaac Jones",2025,2026,"F","6-8",245,"July 11 2000","Wenatchee Valley College Idaho Washington State","jonesis01"
"Kai Jones",2022,2025,"F-C","6-11",221,"January 19 2001","Texas","joneska01"
"Kam Jones",2026,2026,"G","6-4",200,"February 25 2002","Marquette","joneska03"
"Mason Jones",2021,2025,"G","6-4",200,"July 21 1998","Connors State College Arkansas","jonesma05"
"Spencer Jones",2025,2026,"F","6-7",225,"June 14 2001","Stanford","jonessp01"
"Tre Jones",2021,2026,"G","6-1",185,"January 8 2000","Duke","jonestr01"
"Tyus Jones",2016,2026,"G","6-0",196,"May 10 1996","Duke","jonesty01"
"David Jones Garc\u00eda",2026,2026,"F","6-4",210,"November 24 2001","DePaul St. John's Memphis","jonesda06"
"DeAndre Jordan",2009,2026,"C","6-11",265,"July 21 1988","Texas A&M","jordade01"
"Cory Joseph",2012,2025,"G","6-2",200,"August 20 1991","Texas","josepco01"
"Nikola Jovi\u0107",2023,2026,"G-F","6-10",205,"June 9 2003","","jovicni01"
"Johnny Juzang",2023,2026,"G","6-7",226,"March 17 2001","Kentucky UCLA","juzanjo01"
"Ryan Kalkbrenner",2026,2026,"C","7-1",256,"January 17 2002","Creighton","kalkbry01"
"Yuki Kawamura",2025,2026,"G","5-7",159,"May 2 2001","","kawamyu01"
"Trevor Keels",2023,2026,"G","6-3",215,"August 26 2003","Duke","keelstr01"
"Kylor Kelley",2025,2025,"F","7-0",215,"August 26 1997","Oregon State","kelleky01"
"Miles Kelly",2026,2026,"G","6-4",190,"January 26 2003","Georgia Tech Auburn","kellymi02"
"Luke Kennard",2018,2026,"G","6-5",206,"June 24 1996","Duke","kennalu01"
"Jayson Kent",2026,2026,"F","6-8",215,"February 3 2002","Bradley Indiana State University Texas","kentja01"
"Walker Kessler",2023,2026,"C","7-2",245,"July 26 2001","UNC Auburn","kesslwa01"
"Braxton Key",2022,2025,"F","6-7",225,"February 14 1997","Alabama Virginia","keybr01"
"Corey Kispert",2022,2026,"G-F","6-6",224,"March 3 1999","Gonzaga","kispeco01"
"Maxi Kleber",2018,2026,"F","6-10",240,"January 29 1992","","klebima01"
"Bobi Klintman",2025,2026,"F","6-9",225,"March 6 2003","Wake Forest","klintbo01"
"Dalton Knecht",2025,2026,"G","6-6",215,"April 19 2001","Northeastern Junior College University of Northern Colorado Tennessee","knechda01"
"Kevin Knox",2019,2025,"F","6-8",215,"August 11 1999","Kentucky","knoxke01"
"Kon Knueppel",2026,2026,"G-F","6-6",215,"August 3 2005","Duke","knuepko01"
"Tyler Kolek",2025,2026,"G","6-2",195,"March 27 2001","George Mason Marquette","kolekty01"
"Christian Koloko",2023,2026,"C","6-11",225,"June 20 2000","Arizona","kolokch01"
"Yanic Konan Niederh\u00e4user",2026,2026,"F","6-11",242,"March 14 2003","Northern Illinois Penn State","konanya01"
"John Konchar",2020,2026,"G","6-5",210,"March 22 1996","Purdue-Fort Wayne","konchjo01"
"Luke Kornet",2018,2026,"C-F","7-1",250,"July 15 1995","Vanderbilt","kornelu01"
"V\u00edt Krej\u010d\u00ed",2022,2026,"G","6-8",195,"June 19 2000","","krejcvi01"
"Jonathan Kuminga",2022,2026,"F","6-7",225,"October 6 2002","","kuminjo01"
"Kyle Kuzma",2018,2026,"F","6-8",221,"July 24 1995","Utah","kuzmaky01"
"Jake LaRavia",2023,2026,"F","6-7",235,"November 3 2001","Indiana State University Wake Forest","laravja01"
"Zach LaVine",2015,2026,"G-F","6-5",200,"March 10 1995","UCLA","lavinza01"
"Skal Labissi\u00e8re",2017,2026,"F","6-10",235,"March 18 1996","Kentucky","labissk01"
"Jock Landale",2022,2026,"C","6-11",255,"October 25 1995","Saint Mary's","landajo01"
"Chaz Lanier",2026,2026,"G","6-3",206,"December 19 2001","University of North Florida Tennessee","laniech01"
"Pelle Larsson",2025,2026,"G","6-5",215,"February 23 2001","Utah Arizona","larsspe01"
"A.J. Lawson",2023,2026,"G","6-6",179,"July 15 2000","South Carolina","lawsoaj01"
"Caris LeVert",2017,2026,"G-F","6-7",205,"August 25 1994","Michigan","leverca01"
"Damion Lee",2018,2025,"G","6-6",210,"October 21 1992","Drexel Louisville","leeda03"
"Alex Len",2014,2025,"C","7-0",250,"June 16 1993","Maryland","lenal01"
"Kawhi Leonard",2012,2026,"F","6-6",225,"June 29 1991","San Diego State","leonaka01"
"Malevy Leons",2025,2026,"F","6-9",210,"September 23 1999","Mineral Area College Bradley","leonsma01"
"Maxwell Lewis",2024,2025,"F","6-7",215,"July 27 2002","Pepperdine","lewisma05"
"E.J. Liddell",2024,2026,"F","6-6",240,"December 18 2000","Ohio State","liddeej01"
"Damian Lillard",2013,2025,"G","6-2",200,"July 15 1990","Weber State","lillada01"
"Dereck Lively II",2024,2026,"C","7-1",230,"February 12 2004","Duke","livelde01"
"Isaiah Livers",2022,2026,"F","6-6",232,"July 28 1998","Michigan","liveris01"
"Chris Livingston",2024,2026,"F","6-6",220,"October 15 2003","Kentucky","livinch01"
"Kevon Looney",2016,2026,"F-C","6-9",222,"February 6 1996","UCLA","looneke01"
"Brook Lopez",2009,2026,"C","7-1",282,"April 1 1988","Stanford","lopezbr01"
"Caleb Love",2026,2026,"G","6-3",212,"September 27 2001","UNC Arizona","loveca01"
"Kevin Love",2009,2026,"F-C","6-10",251,"September 7 1988","UCLA","loveke01"
"Lawson Lovering",2026,2026,"C","7-0",245,"May 9 2003","Colorado Utah","loverla01"
"Kyle Lowry",2007,2026,"G","6-0",196,"March 25 1986","Villanova","lowryky01"
"Trey Lyles",2016,2025,"F","6-9",234,"November 5 1995","Kentucky","lylestr01"
"Khaman Maluach",2026,2026,"C","7-1",250,"September 14 2006","Duke","maluakh01"
"Sandro Mamukelashvili",2022,2026,"C-F","6-9",240,"May 23 1999","Seton Hall","mamuksa01"
"Terance Mann",2020,2026,"G-F","6-6",215,"October 18 1996","Florida State","mannte01"
"Tre Mann",2022,2026,"G","6-4",178,"February 3 2001","Florida","manntr01"
"Chris Ma\u00f1on",2026,2026,"G","6-4",209,"December 9 2001","Cornell Vanderbilt","manonch01"
"Lauri Markkanen",2018,2026,"F-C","7-1",240,"May 22 1997","Arizona","markkla01"
"Naji Marshall",2021,2026,"F","6-6",220,"January 24 1998","Xavier","marshna01"
"Alijah Martin",2026,2026,"G","6-2",210,"December 26 2001","Florida Atlantic University Florida","martial01"
"Caleb Martin",2020,2026,"F","6-5",205,"September 28 1995","NC State Nevada","martica02"
"Cody Martin",2020,2026,"G-F","6-6",205,"September 28 1995","NC State Nevada","martico01"
"Jaylen Martin",2025,2025,"F","6-6",216,"January 28 2004","","martija02"
"KJ Martin",2021,2025,"F","6-6",215,"January 6 2001","","martike04"
"Tyrese Martin",2023,2026,"G","6-6",215,"March 7 1999","Rhode Island UConn","martity01"
"Jahmai Mashack",2026,2026,"G","6-4",203,"November 10 2002","Tennessee","mashaja01"
"Garrison Mathews",2020,2026,"G","6-5",215,"October 24 1996","Lipscomb","mathega01"
"Bennedict Mathurin",2023,2026,"G-F","6-5",210,"June 19 2002","Arizona","mathube01"
"Karlo Matkovi\u0107",2025,2026,"F-C","6-10",231,"March 30 2001","","matkoka01"
"Tyrese Maxey",2021,2026,"G","6-2",200,"November 4 2000","Kentucky","maxeyty01"
"Bez Mbeng",2026,2026,"G","6-4",185,"May 2 2003","Yale","mbengbe01"
"Miles McBride",2022,2026,"G","6-2",195,"September 8 2000","West Virginia","mcbrimi01"
"Jared McCain",2025,2026,"G","6-3",195,"February 20 2004","Duke","mccaija01"
"Mac McClung",2022,2026,"G","6-2",185,"January 6 1999","Georgetown Texas Tech","mccluma01"
"CJ McCollum",2014,2026,"G","6-3",190,"September 19 1991","Lehigh","mccolcj01"
"T.J. McConnell",2016,2026,"G","6-1",190,"March 25 1992","Duquesne Arizona","mccontj01"
"Kevin McCullar Jr.",2025,2026,"G","6-6",210,"March 15 2001","Texas Tech Kansas","mcculke01"
"Jaden McDaniels",2021,2026,"F","6-9",185,"September 29 2000","Washington","mcdanja02"
"Jalen McDaniels",2020,2025,"F","6-9",205,"January 31 1998","San Diego State","mcdanja01"
"Doug McDermott",2015,2026,"F","6-7",225,"January 3 1992","Creighton","mcderdo01"
"Bryce McGowens",2023,2026,"G-F","6-6",190,"November 8 2002","Nebraska","mcgowbr01"
"Jordan McLaughlin",2020,2026,"G","5-11",185,"April 9 1996","USC","mclaujo01"
"Liam McNeeley",2026,2026,"G-F","6-7",210,"October 10 2005","UConn","mcneeli01"
"Jack McVeigh",2025,2025,"F","6-8",215,"June 27 1996","Nebraska","mcveija01"
"De'Anthony Melton",2019,2026,"G","6-2",200,"May 28 1998","USC","meltode01"
"Sam Merrill",2021,2026,"G","6-4",205,"May 15 1996","Utah State University","merrisa01"
"Vasilije Mici\u0107",2024,2025,"G","6-3",188,"January 13 1994","","micicva01"
"Khris Middleton",2013,2026,"F-G","6-7",222,"August 12 1991","Texas A&M","middlkh01"
"Brandon Miller",2024,2026,"F-G","6-7",200,"November 22 2002","Alabama","millebr02"
"Emanuel Miller",2025,2026,"F","6-5",215,"June 19 2000","Texas A&M TCU","milleem01"
"Jordan Miller",2024,2026,"G","6-5",194,"January 23 2000","George Mason Miami (FL)","millejo02"
"Leonard Miller",2024,2026,"F","6-10",220,"November 26 2003","","millele01"
"Patty Mills",2010,2025,"G","6-2",180,"August 11 1988","Saint Mary's","millspa02"
"Shake Milton",2019,2025,"G","6-5",205,"September 26 1996","SMU","miltosh01"
"Justin Minaya",2023,2025,"F","6-5",205,"March 26 1999","South Carolina Providence","minayju01"
"Riley Minix",2025,2026,"G","6-7",230,"September 22 2000","Southeastern University Morehead State University","minixri01"
"Josh Minott",2023,2026,"F","6-8",205,"November 25 2002","Memphis","minotjo01"
"Yves Missi",2025,2026,"C","6-11",235,"May 14 2004","Baylor","missiyv01"
"Ajay Mitchell",2025,2026,"G","6-4",190,"June 25 2002","UC Santa Barbara","mitchaj01"
"Davion Mitchell",2022,2026,"G","6-0",202,"September 5 1998","Auburn Baylor","mitchda01"
"Donovan Mitchell",2018,2026,"G","6-2",215,"September 7 1996","Louisville","mitchdo01"
"Evan Mobley",2022,2026,"F-C","6-11",215,"June 18 2001","USC","mobleev01"
"Isaiah Mobley",2023,2025,"F","6-8",238,"September 24 1999","USC","mobleis01"
"Jonathan Mogbo",2025,2026,"F","6-9",225,"October 29 2001","Missouri State San Francisco","mogbojo01"
"Malik Monk",2018,2026,"G","6-3",200,"February 4 1998","Kentucky","monkma01"
"Moses Moody",2022,2026,"G","6-5",211,"May 31 2002","Arkansas","moodymo01"
"Taze Moore",2024,2025,"G","6-5",195,"June 29 1998","Cal State-Bakersfield Houston","mooreta02"
"Wendell Moore Jr.",2023,2026,"G-F","6-5",215,"September 18 2001","Duke","moorewe01"
"Alex Morales",2026,2026,"G","6-6",180,"November 21 1997","Prince George Community College Wagner College","moralal01"
"Ja Morant",2020,2026,"G","6-2",174,"August 10 1999","Murray State","moranja01"
"Markieff Morris",2012,2025,"F","6-9",245,"September 2 1989","Kansas","morrima02"
"Monte Morris",2018,2026,"G","6-2",183,"June 27 1995","Iowa State","morrimo01"
"Trey Murphy III",2022,2026,"F","6-8",206,"June 18 2000","Rice University Virginia","murphtr02"
"Dejounte Murray",2017,2026,"G","6-4",180,"September 19 1996","Washington","murrade01"
"Jamal Murray",2017,2026,"G","6-4",215,"February 23 1997","Kentucky","murraja01"
"Keegan Murray",2023,2026,"F","6-8",225,"August 19 2000","Iowa","murrake02"
"Kris Murray",2024,2026,"F","6-8",218,"August 19 2000","Iowa","murrakr01"
"Collin Murray-Boyles",2026,2026,"F","6-7",245,"June 10 2005","South Carolina","murraco01"
"Svi Mykhailiuk",2019,2026,"G-F","6-7",205,"June 10 1997","Kansas","mykhasv01"
"Larry Nance Jr.",2016,2026,"F-C","6-6",245,"January 1 1993","Wyoming","nancela02"
"Pete Nance",2024,2026,"F","6-9",225,"February 19 2000","Northwestern UNC","nancepe01"
"Grant Nelson",2026,2026,"F","7-0",215,"March 18 2002","North Dakota State University Alabama","nelsogr02"
"Andrew Nembhard",2023,2026,"G","6-4",191,"January 16 2000","Florida Gonzaga","nembhan01"
"Ryan Nembhard",2026,2026,"G","5-11",180,"March 10 2003","Creighton Gonzaga","nembhry01"
"Aaron Nesmith",2021,2026,"G-F","6-5",215,"October 16 1999","Vanderbilt","nesmiaa01"
"Asa Newell",2026,2026,"F","6-10",220,"October 5 2005","Georgia","newelas01"
"Tristen Newton",2025,2026,"G","6-5",190,"April 26 2001","East Carolina University UConn","newtotr01"
"Georges Niang",2017,2025,"F","6-6",230,"June 17 1993","Iowa State","niangge01"
"Daishen Nix",2022,2025,"G","6-3",226,"February 13 2002","","nixda01"
"Zeke Nnaji",2021,2026,"F","6-10",240,"January 9 2001","Arizona","nnajize01"
"Miles Norris",2025,2025,"F","6-7",220,"April 15 2000","Oregon City College of San Francisco UC Santa Barbara","norrimi01"
"Jaylen Nowell",2020,2025,"G","6-4",201,"July 9 1999","Washington","nowelja01"
"Jusuf Nurki\u0107",2015,2026,"C","6-11",290,"August 23 1994","","nurkiju01"
"Royce O'Neale",2018,2026,"F","6-6",226,"June 5 1993","Denver Baylor","onealro01"
"Josh Oduro",2026,2026,"F","6-9",240,"October 14 2000","George Mason Providence","odurojo01"
"Jahlil Okafor",2016,2025,"C-F","6-10",270,"December 15 1995","Duke","okafoja01"
"Toby Okani",2026,2026,"F","6-8",210,"October 5 2001","Duquesne University of Illinois at Chicago West Virginia","okanito01"
"Chuma Okeke",2021,2025,"F","6-7",229,"August 18 1998","Auburn","okekech01"
"Josh Okogie",2019,2026,"G","6-4",213,"September 1 1998","Georgia Tech","okogijo01"
"Onyeka Okongwu",2021,2026,"C-F","6-10",240,"December 11 2000","USC","okongon01"
"Isaac Okoro",2021,2026,"G-F","6-4",225,"January 26 2001","Auburn","okorois01"
"Lachlan Olbrich",2026,2026,"F-C","6-8",236,"December 30 2003","University of California Riverside","olbrila01"
"Quincy Olivari",2025,2025,"G","6-2",201,"May 27 2001","Rice University Xavier","olivaqu01"
"Kelly Olynyk",2014,2026,"C-F","7-0",240,"April 19 1991","Gonzaga","olynyke01"
"Norchad Omier",2026,2026,"F","6-5",248,"August 28 2001","Arkansas State University Miami (FL) Baylor","omierno01"
"Kelly Oubre Jr.",2016,2026,"F","6-8",203,"December 9 1995","Kansas","oubreke01"
"Chris Paul",2006,2026,"G","6-0",175,"May 6 1985","Wake Forest","paulch01"
"Cameron Payne",2016,2026,"G","6-2",183,"August 8 1994","Murray State","payneca01"
"Elfrid Payton",2015,2025,"G","6-3",195,"February 22 1994","Louisiana","paytoel01"
"Gary Payton II",2017,2026,"G","6-2",195,"December 1 1992","Oregon State","paytoga02"
"Micah Peavy",2026,2026,"G","6-7",215,"July 16 2001","Texas Tech TCU Georgetown","peavymi01"
"Sean Pedulla",2026,2026,"G","6-1",195,"October 10 2002","Virginia Tech Ole Miss","pedulse01"
"Noah Penda",2026,2026,"G-F","6-7",215,"January 7 2005","","pendano01"
"Taelon Peter",2026,2026,"G","6-3",185,"February 27 2002","Tennessee Technological University Arkansas Tech University Liberty","peterta01"
"Drew Peterson",2024,2026,"G","6-8",205,"November 9 1999","Rice University USC","peterdr01"
"Julian Phillips",2024,2026,"F","6-6",198,"November 5 2003","Tennessee","phillju01"
"Jalen Pickett",2024,2026,"G","6-2",202,"October 22 1999","Siena College Penn State","pickeja02"
"Scotty Pippen Jr.",2023,2026,"G","6-2",170,"November 10 2000","Vanderbilt","pippesc02"
"Daeqwon Plowden",2025,2026,"G","6-4",216,"August 29 1998","Bowling Green","plowdda01"
"Mason Plumlee",2014,2026,"C-F","7-0",254,"March 5 1990","Duke","plumlma01"
"Brandin Podziemski",2024,2026,"G","6-4",205,"February 25 2003","Illinois Santa Clara","podzibr01"
"Jakob Poeltl",2017,2026,"C","7-0",253,"October 15 1995","Utah","poeltja01"
"Jordan Poole",2020,2026,"G","6-4",194,"June 19 1999","Michigan","poolejo01"
"Craig Porter Jr.",2024,2026,"G","6-1",180,"February 26 2000","Vincennes University Wichita State","portecr01"
"Kevin Porter Jr.",2020,2026,"G","6-5",203,"May 4 2000","USC","porteke02"
"Michael Porter Jr.",2020,2026,"F","6-10",218,"June 29 1998","Missouri","portemi01"
"Bobby Portis",2016,2026,"F-C","6-9",250,"February 10 1995","Arkansas","portibo01"
"Kristaps Porzi\u0146\u0123is",2016,2026,"C-F","7-2",240,"August 2 1995","","porzikr01"
"Quinten Post",2025,2026,"F","7-0",238,"March 21 2000","Mississippi State Boston College","postqu01"
"Micah Potter",2022,2026,"C","6-9",248,"April 6 1998","Ohio State Wisconsin","pottemi01"
"John Poulakidas",2026,2026,"G","6-6",205,"April 4 2003","Yale","poulajo01"
"Drake Powell",2026,2026,"G-F","6-5",195,"September 8 2005","UNC","poweldr01"
"Dwight Powell",2015,2026,"F-C","6-10",240,"July 20 1991","Stanford","poweldw01"
"Norman Powell",2016,2026,"G","6-3",215,"May 25 1993","UCLA","powelno01"
"Taurean Prince",2017,2026,"F","6-6",218,"March 22 1994","Baylor","princta02"
"Payton Pritchard",2021,2026,"G","6-1",195,"January 28 1998","Oregon","pritcpa01"
"Tyrese Proctor",2026,2026,"G","6-4",185,"April 1 2004","Duke","proctty01"
"Olivier-Maxence Prosper",2024,2026,"F","6-7",230,"July 3 2002","Clemson Marquette","prospol01"
"Zyon Pullin",2025,2026,"G","6-4",206,"March 3 2001","University of California Riverside Florida","pullizy01"
"Derik Queen",2026,2026,"F-C","6-9",250,"December 27 2004","Maryland","queende01"
"Trevelin Queen",2022,2025,"G","6-5",190,"February 25 1997","College of Marin New Mexico Military Institute New Mexico State","queentr01"
"Neemias Queta",2022,2026,"C","7-0",248,"July 13 1999","Utah State University","quetane01"
"Immanuel Quickley",2021,2026,"G","6-2",190,"June 17 1999","Kentucky","quickim01"
"Lester Qui\u00f1ones",2023,2025,"G","6-5",208,"November 16 2000","Memphis","quinole01"
"Julius Randle",2015,2026,"F-C","6-9",250,"November 29 1994","Kentucky","randlju01"
"Maxime Raynaud",2026,2026,"F","7-1",250,"April 7 2003","Stanford","raynama01"
"Duop Reath",2024,2026,"C","6-9",245,"June 26 1996","Lee College LSU","reathdu01"
"Austin Reaves",2022,2026,"G","6-5",197,"May 29 1998","Wichita State Oklahoma","reaveau01"
"Cam Reddish",2020,2025,"F","6-7",230,"September 1 1999","Duke","reddica01"
"Paul Reed",2021,2026,"C-F","6-9",210,"June 14 1999","DePaul","reedpa01"
"Alex Reese",2025,2025,"F","6-9",245,"May 21 1999","Alabama","reeseal01"
"Julian Reese",2026,2026,"F","6-9",230,"June 30 2003","Maryland","reeseju01"
"Antonio Reeves",2025,2026,"G","6-5",205,"November 20 2000","Illinois State Kentucky","reevean01"
"Naz Reid",2020,2026,"F","6-9",264,"August 26 1999","LSU","reidna01"
"Jared Rhoden",2023,2025,"G","6-5",210,"August 27 1999","Seton Hall","rhodeja01"
"Will Richard",2026,2026,"G","6-3",206,"December 24 2002","Belmont Florida","richawi02"
"Nick Richards",2021,2026,"F-C","6-11",245,"November 29 1997","Kentucky","richani01"
"Jase Richardson",2026,2026,"G","6-1",180,"October 16 2005","Michigan State","richaja02"
"Josh Richardson",2016,2025,"G","6-5",200,"September 15 1993","Tennessee","richajo01"
"Kadary Richmond",2026,2026,"G","6-5",205,"August 25 2001","Syracuse Seton Hall St. John's","richmka01"
"Will Riley",2026,2026,"F","6-9",180,"February 10 2006","Illinois","rileywi01"
"Zaccharie Risacher",2025,2026,"F","6-8",200,"April 8 2005","","risacza01"
"Liam Robbins",2025,2025,"F","7-0",250,"July 12 1999","Drake University Minnesota Vanderbilt","robbili01"
"Duncan Robinson",2019,2026,"G-F","6-7",215,"April 22 1994","Williams Michigan","robindu01"
"Mitchell Robinson",2019,2026,"C","7-0",240,"April 1 1998","Western Kentucky","robinmi01"
"Orlando Robinson",2023,2026,"F","6-10",235,"July 10 2000","Fresno State","robinor01"
"Jeremiah Robinson-Earl",2022,2026,"F","6-9",240,"November 3 2000","Villanova","robinje02"
"David Roddy",2023,2026,"F","6-5",255,"March 27 2001","Colorado State","roddyda01"
"Ryan Rollins",2023,2026,"G","6-3",180,"July 3 2002","Toledo","rolliry01"
"Jackson Rowe",2025,2025,"F","6-6",210,"January 4 1997","Cal State Fullerton","roweja01"
"Terry Rozier",2016,2025,"G","6-1",190,"March 17 1994","Louisville","roziete01"
"Rayan Rupert",2024,2026,"G","6-7",205,"May 31 2004","","ruperra01"
"D'Angelo Russell",2016,2026,"G","6-3",193,"February 23 1996","Ohio State","russeda01"
"Cormac Ryan",2026,2026,"G","6-5",195,"October 26 1998","Stanford Notre Dame UNC","ryanco01"
"Matt Ryan",2022,2025,"F","6-6",215,"April 17 1997","Notre Dame Vanderbilt Chattanooga","ryanma01"
"Domantas Sabonis",2017,2026,"C-F","6-10",240,"May 3 1996","Gonzaga","sabondo01"
"Tidjane Sala\u00fcn",2025,2026,"F","6-10",207,"August 10 2005","","salauti01"
"Hunter Sallis",2026,2026,"G","6-4",185,"March 26 2003","Gonzaga Wake Forest","sallihu01"
"Kobe Sanders",2026,2026,"G","6-8",207,"May 30 2002","Cal Poly Nevada","sandeko01"
"Payton Sandfort",2026,2026,"G","6-7",215,"December 4 2002","Iowa","sandfpa01"
"Adama Sanogo",2024,2025,"F","6-9",245,"February 12 2002","UConn","sanogad01"
"Gui Santos",2024,2026,"F","6-7",185,"June 22 2002","","santogu01"
"Ben Saraf",2026,2026,"G","6-6",200,"April 14 2006","","sarafbe01"
"Dario \u0160ari\u0107",2017,2026,"F-C","6-10",225,"April 8 1994","","saricda01"
"Alex Sarr",2025,2026,"F","7-0",205,"April 26 2005","","sarral01"
"Olivier Sarr",2022,2026,"C","6-10",240,"February 20 1999","Wake Forest Kentucky","sarrol01"
"Marcus Sasser",2024,2026,"G","6-1",195,"September 21 2000","Houston","sassema01"
"Baylor Scheierman",2025,2026,"G","6-6",205,"September 26 2000","South Dakota State Creighton","scheiba01"
"Dennis Schr\u00f6der",2014,2026,"G","6-1",175,"September 15 1993","","schrode01"
"Tre Scott",2022,2026,"F","6-8",225,"November 25 1996","Cincinnati","scotttr01"
"Mark Sears",2026,2026,"G","6-0",185,"February 19 2002","Ohio University Alabama","searsma01"
"Alperen \u015eeng\u00fcn",2022,2026,"C-F","6-11",243,"July 25 2002","","sengual01"
"Brice Sensabaugh",2024,2026,"F","6-6",235,"October 30 2003","Ohio State","sensabr01"
"Collin Sexton",2019,2026,"G","6-3",190,"January 4 1999","Alabama","sextoco01"
"Landry Shamet",2019,2026,"G","6-5",190,"March 13 1997","Wichita State","shamela01"
"Terrence Shannon Jr.",2025,2026,"G","6-6",215,"July 30 2000","Texas Tech Illinois","shannte01"
"Day'Ron Sharpe",2022,2026,"C","6-10",265,"November 6 2001","UNC","sharpda01"
"Shaedon Sharpe",2023,2026,"G","6-5",210,"May 30 2003","Kentucky","sharpsh01"
"Jamal Shead",2025,2026,"G","6-1",200,"June 24 2002","Houston","sheadja01"
"Ben Sheppard",2024,2026,"G","6-6",190,"July 16 2001","Belmont","sheppbe01"
"Reed Sheppard",2025,2026,"G","6-2",185,"June 24 2004","Kentucky","sheppre01"
"Max Shulga",2026,2026,"G","6-4",210,"June 25 2002","Utah State University VCU","shulgma01"
"Pascal Siakam",2017,2026,"F-C","6-8",245,"April 2 1994","New Mexico State","siakapa01"
"Ben Simmons",2018,2025,"G-F","6-10",240,"July 20 1996","LSU","simmobe01"
"Anfernee Simons",2019,2026,"G","6-3",200,"June 8 1999","","simonan01"
"KJ Simpson",2025,2026,"G","6-2",189,"August 8 2002","Colorado","simpskj01"
"Jaylen Sims",2025,2025,"G","6-6",210,"December 11 1998","UNC Wilmington","simsja01"
"Jericho Sims",2022,2026,"F-C","6-10",250,"October 20 1998","Texas","simsje01"
"Jalen Slawson",2024,2026,"F","6-7",215,"October 22 1999","Furman University","slawsja01"
"Javon Small",2026,2026,"G","6-1",190,"December 19 2002","East Carolina University Oklahoma State West Virginia","smallja01"
"Marcus Smart",2015,2026,"G","6-3",220,"March 6 1994","Oklahoma State","smartma01"
"Dru Smith",2023,2026,"G","6-2",203,"December 30 1997","University of Evansville Missouri","smithdr01"
"Jabari Smith Jr.",2023,2026,"F-C","6-11",220,"May 13 2003","Auburn","smithja05"
"Jalen Smith",2021,2026,"F","6-8",215,"March 16 2000","Maryland","smithja04"
"Malachi Smith",2026,2026,"G","6-4",205,"December 6 1999","Wright State University Chattanooga Gonzaga","smithma02"
"Nick Smith Jr.",2024,2026,"G","6-2",185,"April 18 2004","Arkansas","smithni01"
"Tolu Smith",2025,2026,"F","6-11",254,"July 26 2000","Western Kentucky Mississippi State","smithto05"
"Tyler Smith",2025,2026,"F","6-9",224,"November 2 2004","","smithty02"
"Jeremy Sochan",2023,2026,"F-G","6-8",230,"May 20 2003","Baylor","sochaje01"
"Cam Spencer",2025,2026,"G","6-3",205,"April 6 2000","Loyola (MD) Rutgers University UConn","spencca01"
"Pat Spencer",2024,2026,"G","6-2",205,"July 4 1996","Loyola (MD) Northwestern","spencpa01"
"Jaden Springer",2022,2025,"G","6-4",202,"September 25 2002","Tennessee","sprinja01"
"Isaiah Stevens",2025,2026,"G","5-11",185,"November 1 2000","Colorado State","steveis01"
"Lamar Stevens",2021,2025,"F","6-7",230,"July 9 1997","Penn State","stevela01"
"Isaiah Stewart",2021,2026,"F-C","6-8",250,"May 22 2001","Washington","stewais01"
"Julian Strawther",2024,2026,"F","6-6",205,"April 18 2002","Gonzaga","strawju01"
"Max Strus",2020,2026,"G","6-5",215,"March 28 1996","Lewis (IL) DePaul","strusma01"
"Jalen Suggs",2022,2026,"G","6-5",205,"June 3 2001","Gonzaga","suggsja01"
"Cole Swider",2023,2025,"F","6-10",220,"May 8 1999","Villanova Syracuse","swideco01"
"Jae'Sean Tate",2021,2026,"F","6-4",230,"October 28 1995","Ohio State","tateja01"
"Jayson Tatum",2018,2026,"F","6-8",210,"March 3 1998","Duke","tatumja01"
"Terry Taylor",2022,2025,"G-F","6-5",230,"September 23 1999","Austin Peay State University","taylote01"
"Jahmyl Telfort",2026,2026,"G","6-7",225,"April 30 2001","Northeastern University Butler","telfoja01"
"Garrett Temple",2010,2026,"G","6-5",195,"May 8 1986","LSU","templga01"
"Dalen Terry",2023,2026,"G","6-6",195,"July 12 2002","Arizona","terryda01"
"Daniel Theis",2018,2025,"C","6-8",245,"April 4 1992","","theisda01"
"Adou Thiero",2026,2026,"G-F","6-7",220,"May 8 2004","Kentucky Arkansas","thierad01"
